"SENTENCES","LABELS"
"MumbaiRains ke samay ya #Diwali ke samay  #STRAYDOGS ki fikar Karne  wale log #BakraEid par bakre kaatenge or khoob swad se khayenge","Hindi"
"shurak karo abhi to hindu tyaharon par hi rok lag rahi hai, kisi din hindu hone par hi yachika daal di to Supreme Court ka kya bharosa.","Hindi"
"Funniest dancing ever! and more...: Ãƒâ€šÃ‚ Funniest dancing ever! jack-o-garden Shae wins the month of October .. http://bit.ly/2fphbR","English"
"RT @walterdoc: Be humble and gracious. Relax. Breathe life deeply. And don't forget to smile. Morning y'all!","English"
"Sach ko tadaad ki zarurat nahi hoti Darbabri #JITReport #GameOverNawaz Supreme Court","Hindi"
"Ke rumah Bhumi, uuu jadi gak nonton Shrek deh ;p","English"
"Main phir bhi tumko chahunga.","Hindi"
"RT @KLSouth: Charlie Crist better get off the tanning bed. Sarah must luv this. Its like shootin moose in a barrel. Via @thegipperreview","English"
"South Africa cricket team on ICC trophy be like ""tu pyaar hai kisi aur ka,tujhe chahta koi aur hai"" #ct17 #indvssa","Hindi"
"I REPEAT... LIVE RAPING ON NATIONAL TELEVISION. GO BIRDS!!!","English"
"Hum Kya Hai","Hindi"
"SO WHATS GOOD THIS MORNING IM UP JUS REALLY GETTIN HOME OUT WIT MY DAWGS WE HAD A GOOD TIME","English"
"Oh, if you don't know about #movember: http://bit.ly/33nBuW (it's not a very difficult concept to grasp...)","English"
"i need new ppl to follow, so NEW followers holla at me if im not following you back!!!","English"
"I want some juice.","English"
"It's (still) Halloween #mnsshp - http://moby.to/zzt8gn","English"
"Sabhi bhakto se nivedan h ki court ko apna faisla sunane do... ye dange fasad in sab se kuch nhi hoga...#RamRahimSingh Supreme Court","Hindi"
"well twitfolks and twitfam, I'm heading out...gotta chill wit wifey's fam..she lost her grandmother yesterday, so please pray for them.","English"
"RT @sigaFlamengo #QueroUmaCamisaOficial - RetuÃƒÆ’Ã‚Â­te essa mensagem e concorra a uma camisa do MengÃƒÆ’Ã‚Â£o: http://siga.st/2gec","English"
"par usake man kahee na kahee apana mukhy lakshy penting karana sirph sapana ban gaya .","Hindi"
"Hans Ke Pukar","Hindi"
"Rogi bankar tadpte hain aur jald he mar jatte hain.","Hindi"
"Stop Loss Rules: Position your stop loss in relation to the market activity. Many traders incorrectly choose a .. http://tinyurl.com/ykr7gp4","English"
"That pretty much sums it up for crazy iPhone news. I hope you all enjoyed the news and we'll see you again at the Belus launch.","English"
"Power bhi kya cheez hai.  Abhi president #Trump Ki beti @IvankaTrump India aayi thi puri media me chhayi thi aur aaj abhi @BarackObama Delhi aaye hue hai par kisi ko fiqr hi nhi hai  #ObamaInIndia","Hindi"
"Oh, and a happy Samhain to all. (Can you call it ""happy""? I dunno... I like winter...)","English"
"Mari aur chatpatati hui maakyiyon ko dekh kar bhi wah shahaid khanne ka lalach nahi chodd payi.","Hindi"
"Kya hinduo k sath ye atyachar isliy ho rha hai kyuki vo patakhe fodte hai bomb nhi fodte.Supreme Court .Bakrid dharm to diwali kya hai sahab","Hindi"
"Nadi par ek chotta sa pul tha.","Hindi"
"kisee ne kaha bhee hai jinake jeevan mein koee pareshaanee nahin aatee vo jeevan mein koee unnati bhee nahin kar sakate .","Hindi"
"RT @samaralopes >> Juntos, somos mais [+] - @horiceara HÃƒÆ’Ã¢â‚¬Å“RI CEARA FC || www.fotolog.com/horiceara","English"
"Responding to a domestic disturbance in the east village","English"
"woke up with a major kink in my neck... is there an app for that?","English"
"Here's to leaving the Darkness of Halloween and entering the Light of Daylight Savings Time. Here Here","English"
"Nirbhaya case ke samay saare patrakaar sadak par they , ab kya ho gaya , kya Haryana ki betiyan ka dard aap logon ko vichlit nahi kar raha","Hindi"
"Qasam uthwa lo mjhay phlay hi pta tha yehi faisla ana haySupreme Court","Hindi"
"So one of the band has returned, one who isn't my bf . You'd think the one who is my bf would have tried to be first bk to stope me worrying","English"
"Ham Lafange Hai","Hindi"
"Pehle BJP ne kiya.. Phir Desh ke voters ne kiya.. Ab Supreme Court kar rahi hai","Hindi"
"Koi toh aisa task hoga duniya me jise karke Shilpa mam se mila jaa sake :D","Hindi"
"http://twitpic.com/nr3uw - Mischka halloween outtake 2","English"
"RT: @ZonaBlackBerry: Tema Navidad para 8900 - Zona BlackBerry | Foro BlackBerry http://bit.ly/1PPgq9","English"
"Rang Jaiye Holi ke rang, Padmaavat ke sang!","Hindi"
"Sooo I only slept 3 hours cuz I forgot to change the clock in my room...FML!","English"
"If it's so good being free, do you mind telling me why I don't know what to do with myself","English"
"Ye Sab time nikal ke #Diwali festival ke piche kyun pad gaye hain #Diwali #nocrackers #crackerban #DelhiNCR #now #mumbai","Hindi"
"No ones worth fighting for if theyre not fighting back. good one yvetters. and jonah made my day by just saying ""top that..."" haha =]","English"
"I just took the ""Como vocÃƒÆ’Ã‚Âª fica quando termina um namoro?"" quiz and got: Muito triste/Deprimido(a)! Try it ÃƒÂ¢Ã…Â¾Ã‚Â¤ http://bit.ly/3yJ8ne","English"
"Last year, #Diwali ke char din baad ek aawaz aayi thi.... #Mitron","Hindi"
"it is anthony","English"
"Listening to 'You Got Me' by The Roots @imeem http://x.imeem.com/bzG98MBCHm .... IamBeyonce ... xoxoxo..... Happy Halloween, Luv ....","English"
"por que durante todo esse tempo nada foi tentado? eu vivi um teste","English"
"Hal Kya Hai Dilon Ka","Hindi"
"RT @FoxxFiles: #LoseMyNumber if you just saw me in public and i just hit you with the nod and kept it moving.","English"
"Just took ""Which Disney Darling Are U Most Like?"" and got: Demi Lovato! Try it ÃƒÂ¢Ã…Â¾Ã¢â‚¬Â http://bit.ly/1k4u8c","English"
"RT @safiDRED I'm so GANGSTA , I sleep with pillowcases full of rocks cuz I'm too G for comfort . <----- where u gettin this shit from lol","English"
"Wall Street Journal article you won't see reference http://bit.ly/3QuSaw #simplerobb.com","English"
"Have you all heard about this? Its so weird. http://bit.ly/gTHVm","English"
"Rok Sako Toh Rok Lo ....Tabdeeli Aaai Rey....Kaptaaan Champion!!!! Supreme Court #ThankYou","Hindi"
"Just love my radio, it really knows when to play all the music I am in the mood for..","English"
"Muslims ese ro rahe he jese #trump ne unki nasbandi hi kardi ho.","Hindi"
"RT @VH1iNFO If practice makes perfect, and nobody's perfect, why practice?","English"
"I think your whole life shows in your face and you should be proud of that.","English"
"Suna hai #Notebandi se atankiyo ki #Nasbandi karni thi Kaka Contraceptive lekar gae the par Viagra gift kar ke aa gae #NoteBandi","Hindi"
"Yeh sale aapne aap ko Supreme Court se bada samajhte hain","Hindi"
"Friends guilted me into passing out candy tonight. But I forgot to buy some. So I guess I won't. Darn.","English"
"RT @tishyb: RT @LaneCasteix Ford's Near $1 Billion Q3 Profit Due to Social Media? http://bit.ly/3E3ACm #yam","English"
"Hi all! HOW TO ASK YOUR BOSS FOR A SALARY INCREASE..? just got published: http://trim.su/1Obd","English"
"titaharee ko bahut duhkh hua","Hindi"
"To @peterfacinelli hope you come back to Ireland!! I missed you the last time :(","English"
"I need MCD'S and my bed!","English"
"Obama Loves the new album from Every Avenue"" #pictureperfect #pictureperfect #pictureperfect","English"
"har kisee ke jeevan mein pareshaaniyaan aaee par vo saphal isalie hue kyoki unhonne pareshaaniyon ke aage ghutane nahin teke aur aage badhane ke raste nikal lie .","Hindi"
"Some one decided to light incense in my buildiing......Great in allergic to incense. Now I cant stop sneezin and my face puffed up!!!!!!","English"
"omg. did i tell you how much i love Phil Collins? &lt;3","English"
"Ganga Ghat ka Pani Piya Hai","Hindi"
"God dammit it's Teen Jeopardy. Get ready for the easiest questions in the world","English"
"The dulcet tones of the voice on the recording assured me that my call was important, but the speed of their answer convinced me otherwise.","English"
"rape pideeton ke sath sath thodi chinta triple talaq pideet mahilao ka bhi kariye madam?? #TripleTalaq","Hindi"
"wants to thank everybody for coming out last night -- SNOOP, METHOD, RED, DEVIN, HUSTLE BOYS, their crew & special... http://bit.ly/1ACQik","English"
"Where I live most concrete evidence showing the call to prayer..","English"
"wanna make beer bread. get out of the kitchen peeps!","English"
"Icelandic majesty, vocals as sweetest instrument. ÃƒÂ¢Ã¢â€žÂ¢Ã‚Â« http://blip.fm/~fqjho","English"
"Gore Rang Pe Na Itana","Hindi"
"RT @crystalclark24: support local artists and independent thought","English"
"Ngadem yok RT @Linovee: Panas bgt yak diLuar...adiiuuhh :(","English"
"Still watching it. my computer takes 50 years to do everything lately =(","English"
"The Problem with Social Media Agencies http://bit.ly/CYqpx","English"
"Tumne to jaise mehnat karke empire khada kiya hai, pehli baar dekh rahe hai, chori or bhrstachaar me saja bhugat raha aadmi, gyan pel raha hai.","Hindi"
"Phone kab tak ayega #Diwali  bhi khatam ho gayi @JioCare","Hindi"
"Smash Pictures Creates New Online Sites with HushMoney.com: In an effort to make their entertaining lineup of f.. http://bit.ly/2hsqOi","English"
"RT @Steveology: Behind Closed Doors: WhatÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s On the Mind Of Chief #Marketing Officers by @jowyang http://ow.ly/xN4e #scrm","English"
"I am working on starting my on clothing line. Looking for some good names to call it. not sure if I want to uae my real name for it.","English"
"Yeh JNU mein padhai hoti hai ke nahi ?? Ke saale sabhi government ke paise ka khaake chutiyapa karte rehte hain pura din @UmarKhalidJNU #JNU","Hindi"
"TurnKey MovableType Live CD 2009.02-hardy-x86 http://bit.ly/4iIFli","English"
"Ye muft ke #jio se ek fayda to hua hai...ye bc jhooti ladkiyo ke recharge nahi karwane padte. Meethi baate karke recharge. Kyu ? @IamCbf_","Hindi"
"Sher ko jaal mein phansa dekhkar ussne turant apne nukele danto se jaal kaat diya aur sher ko azad kar diya.","Hindi"
"If the Broncos lose to the Ravens I will brutally murder Ray Lewis.","English"
"Hornets to roar over city in Olympic exercise http://bit.ly/4jMADQ","English"
"I used to be one! RT @Vasser: Its crazy how no one questions the governments actions & actually believe they do not lie to you. Brain washed","English"
"Har Koi Chahata Hai","Hindi"
"Thanks to Simon Daniel, now all of my nephews are sneakers freaks. They now talking bout Vans, NikeSB, and Supra. Ckckck.","English"
"Well crap, that drive went no where. What happened with you all Falcons. Now we got to punt now.","English"
"Jo apna kaam dhanda chod kar sirf #Hindu #festivals ko ban kare wo #SupremeCourt.","Hindi"
"So after making sure parents aren't furiously calling/texting phones & everyone's ok...in a way... It is my turn to go to sleep...Good Night","English"
"India wale bahut achhe hai... Sab ko batting karne dete hai  #IndvsSA","Hindi"
"Mmmm. Natural wine. RT @TheSnarkHunter: Almost to Santa Rosa and our appt @theNPA !","English"
"Gussa Itana Haseen Hai To","Hindi"
"why do haters insist they're buying the 2pm album because they deserve it, every artist deserves their album bought, you gonna buy them all?","English"
"RT @thedailymash: TWITTER USERS DARE YOU TO EVEN THINK IT http://bit.ly/dMrpH","English"
"Saraswati Kunj members ki #MannKiBaat, Nyaya ho hamaare saath.","Hindi"
"Thx to @lilseera utk report nya .wlaupun mati lmpu ,untg ad twit =D","English"
"Well, last night was a nightmare","English"
"New York, I will be invading your city tomorrow and Thursday. Consider yourselves warned.","English"
"When you visit Jubilee Jam, you enter a whole new world, look for treasure and make discoveries. Visit - http://ow.ly/y34W #kids #parenting","English"
"No may be. Just yes. And im thinkin bout u in other ways now","English"
"government ko chahiye ki sc ke iss verdict ko palat de kyu ki ye chuni hui Sarkar ke kaam me dakhal hai @narendramodi #rightToprivacy","Hindi"
"watched this is it w/ the cousins. my first time at an imax since i was......... 4? =/ then we all went biking around the village","English"
"lol YOU KNOW IT...No me gusta dejar a nadie sin respuesta. RT @Shogun79: @ProfesorXavier esos son los stats de un verdadero twitterican lol","English"
"printing, cutting, putting together and loving the cute design for Kyle's first birthday invitation... photos to... http://bit.ly/1jPxGC","English"
"Johnny damon, you're an idiot WHY DID YOU DIVE FOR THAT BALL? Let's go yankees!","English"
"RT @mz_dollybby: @futuristicblvd yo no se papi.. im jus fuckin wit yu.. lol let's lost the wit in that sentance","English"
"RT @wilhelminawang: I'm having another contest. One more prize has been added - a Lelo Bo! Details here: http://bit.ly/LOBoZ","English"
"just voted ""Selena"" on ""Who wears Converse the best?"" vote too ÃƒÂ¢Ã…Â¾Ã¢â‚¬Â http://bit.ly/1oEYQh","English"
"my boys playin! woke up just in time.","English"
"Wow ok i have to do all dishes when ihave alot of hw to do. So i have to do hw as punish. But how can i do hw now? Fml","English"
"Haryana main lagataar ladkiyon ke saath Rape ho rahe hain , Nirbhaya jaisi haivaniyat , kabhi samay mile to ush par bhi charcha kar lena Manak ji","Hindi"
"Rebooting desktop PC due to AVG antivirus upgrade...","English"
"Off to the race. Thank you 4 your support.","English"
"Shit I been busy....shows, walking, awards, food, family etc: I guess that follows along in this industry but I love it dearly","English"
"I'll only let you eat it if you ask me right My coochie mad tight and it ain't no fun if your tongue ain't in No tired ass nigga can handle","English"
"girl im prolly younger than you im asian i age slowly im only 19","English"
"I just went through a montage of the things I could accomplish with a montage. I feel like I just accomplished a lot.","English"
"Words like violence, break the silence. Come crashing in, into my little world. Painful to me, pierce right through me... <3 DM","English"
"titaharee ne bataaya â€“ â€ mahaaraaj mere ande samudr baha kar le gaya hai ab mein is samudr ko mitatee se bhar .","Hindi"
"RT @canimmigrant: Tips on getting the job - Q&A with immigrant head of human resources at RBC http://bit.ly/2GyhFu","English"
"kuchh der baad raaja ke ek buddhimaan mantree ne ek yukti nikaalee.","Hindi"
"isalie har samay achchha soche hamaree soch hee hamaara jeevan banaatee hai .","Hindi"
"To na informatica com a @fee__carvalho , @ju__morgado ....","English"
"Gadi Bula Rahi Hai","Hindi"
"UK main tu life bohat busy hoti hai shama aunty ji , yeh chamcha giri k liye time kaisay nikaal leti hain aap ? Supreme Court","Hindi"
"FUCK YOU BLACKBERRY BOLD TRACKBALL","English"
"Talk too me people I'm boreD the kids are all sleeping and my classrOom is extremely quite","English"
"News aus Hofgeismar: Und Mendelssohn ÃƒÆ’Ã‚Â¼berzeugte http://bit.ly/2bsUQT #hna","English"
"sirf net ke liye use karo, calling me to bsnl bhi baap lagata hai #Jio ke samne","Hindi"
"Khudko khuli kitaab bolne wale bhi #RightToPrivacy par tweet kar rahe hai.","Hindi"
"RT @imrogb Facebook Captcha is a Social Media Guru! http://post.ly/9Qy3 less than 5 seconds ago","English"
"QUICK shot out to my soldiers @MpPain @prpeddles @kdfbaby!!!","English"
"This is why Demi is my personal hero. RT @ddlovato I <3 the History Channel... (obviously this party is gettin' pretty crazy over here!)","English"
"The gays love my boobs !!","English"
"Matches koi aur jeet rha hai, pathake koi aur phod rha hai","Hindi"
"I need you like the air we breathe and as the sun in the winter cold!!!...","English"
"Third round is better for Spina, he's more active, landing more and Del Valle sat back most of the round. 29-28 Spina","English"
"Internet bhi nashe ki tarah hai. Ab jab lat lag chuki hai toh kharch toh karna hi hoga","Hindi"
"Meetha-meetha shahaid oonhay bada aacha laga.","Hindi"
"i loveeeeee my boyfrannn","English"
"RT @Musiccitygal: Going into #tcot is like going into a Haunted House but SCARIER!!!//No joke, that. Funnier too!","English"
"RT @JonMorganAM: Good news: Hoping to lay my Draft Mental Health Order next week, following positive response of Welsh Affairs committee","English"
"hahahah RT @tawakkal, dan jgn lupa beli bolu di koperasi RT @zahrinahasyati: dan............ gue bingung ngerjain ppt geo!!!!!!!!!!!!!!!!!!!","English"
"It seems that you need to sprinkle money to people internationally so no bad habits end up biting me back.Judging people is not on my agenda","English"
"went to the mall and to see bub. had a lot of fun. gonna go to sleep. excited for school...weird?","English"
"Sharam nahi aati #iphone use kar rahe ho aur upar se usme #jio ka sim laga rakha hai","Hindi"
"Great Ted Talk. I was moved to action. But ask weak. Didn't know what to do next. http://bit.ly/q1y3n Now I have to work to find out.","English"
"MUFT KI AISI LAAT LAGI, RECHARGE KARNE KO DIL NEHI MANTA","Hindi"
"Ho Maine Dil Diya","Hindi"
"Man, I love and hate the heating system at work. It's beautiful when you just walked in from the cold. It's awful when you're here for 8 hrs","English"
"RT @RevRunWisdom Stop trying 2 b like everyone else, When ur some1 who's different, fly, dope & unusual, EVERYBODY will try to be like you!","English"
"RT @bossyncontrol: RT @Nellahtv Can't believe its already November! 2010 is gonna be my yr!I believe it!(urs & everyones elses lol)|LML WORD","English"
"Photo: (via papertissue) ahhhh! http://tumblr.com/xns3swwp9","English"
"Ima start painting my face every day and sending a daily picture text to @squishycool just for the fuck of it. :)","English"
"usane socha kee mein samudr mein se apane ande zaroor nikal kar laoongee.","Hindi"
"Lovin the Magic Mouse; not so much the hangover.","English"
"RT @Aleshia3456 CoolBeat Audiobooks. http://bit.ly/DVNTU","English"
"Tomorrow I'm taking the brother to the Coastal Carolina Fair. Anyone wanna join us?! Eliz can't go =\","English"
"Needs to kick it into gear health wise. I don't want to get fat and sick.","English"
"soo I have green contactss, but i dk if I should keep the color in my hair or not. =/","English"
"locked in once again to 'Life' on #BBC One... Absolutely awesome series - http://is.gd/4LoEE","English"
"jahaan raaja jaata, vah bandar bhee usake saath jaata.","Hindi"
"greek season finale was good. april is too far away for the new season :[","English"
"RT @JoLynneValerie Good morning! It's a new day in which to let go of the past and jump w/ both feet into your current life.","English"
"With the days getting shorter, what do you recommend for exercise for us ...: Researchers have addressed this i.. http://tinyurl.com/ygftzf6","English"
"RT @GuyKawasaki: How to write a sticky blog post http://om.ly/YrOx","English"
"Kya yaha koi aur bhi hai jisne apna #jio abtak recharge ni karaya :v aur ab bhi mast chalraha hai ya ye service...","Hindi"
"RT @FR_BSB Lobby no Brasil correu solto no JudiciÃƒÆ’Ã‚Â¡rio e no MP no feriadÃƒÆ’Ã‚Â£o de Finados. Essa turma nÃƒÆ’Ã‚Â£o tem nada de morto. http://bit.ly/453BZM","English"
"I really like the AP mobile app, anybody who has windows mobile should goto the marketplace and install it","English"
"Ooo we just took Practice makes Perfect to another level!! :) & that's fine!!","English"
"kuch saal pehle jo party desh ke aadhe rajyo me thi aaj usko ek rajya me sarkar bnane ke liye #SupremeCourt jana pd raha hai..","Hindi"
"Garib kal bhi Carib the,  aj bhi garib hai.. #notebandi sirf corruption k khilaf thi,  jo bhut hadd tak control me aa gayi hai..","Hindi"
"I just saw a midget","English"
"Gori Tere Ang Ang Mein","Hindi"
"RT @PRBristolblog: RT @lyndoman: way social media set up, few people have the balls to be critical. Everyone terrified of losing followers","English"
"Iss chahat main mar jaunga Main phir bhi tumko chahungaâ€¦Meri jaan main, har khamoshi main Tere pyar ke naagme gaungaa..","Hindi"
"uhm should I not go to class or should I just leave early? I WANNA SEE MY GAME GD IT","English"
"RT @radiozero977:estÃƒÆ’Ã‚Â¡ disponble el Podcast de Desde Zero en www.radiozero.cl//recomiendo la repasada que le pega A J Holt a su colega G Vial","English"
"Un charro dijo: no hay charro que sea Caballero. &lt;-- sabias palabras","English"
"R/s : Last 1 mahine me desh ne 2 mahila police officer ke nirbhik aur nidar duty ko  dekha.. par afsos  naye govt me bhi wahi","Hindi"
"Good morning @number1producer or good night, or ""good havent slept yet"", which translate to just good day. lol. :)","English"
"well put my patch on not feeling too bad a long way to go yet !!!!!!","English"
"RT @PROMISEMUSIC good morning friends! i'm feeling especially blessed today....God has some great things in store for all us! RECEIVE IT!!","English"
"Saving for college is Money Talk$ topic: The Free Lance-Star The Virginia College Savings Plan is an independen.. http://bit.ly/2nqcN7","English"
"Par #Trump ye soch ke hairaan honge ki America ne jo itane saalon main paaya #India ne sirf 70 saalon main paa liya, Kaise?","Hindi"
"So I want a Bacon Cheeseburger From wendys ! >:O","English"
"Pd ngmgin aku semua tuh say. haha :D RT @dyaneriza: Hey @fitriapriliyani @Emmaqu @en6_in6_en6 kalian jadi penunggu home twitt ku,rame ma kal","English"
"It's a long one people...a recap of Voodoo weekend. I hope you enjoy...http://bit.ly/1vGxWG","English"
"RT @becks112 RT @PigsknLvngLady: 27 outs from winning their 27th championship. Who else baby, but the most hated and LOVED team in Americ..","English"
"I miss my va state people!!","English"
"Hannity and Bachman on Health Care Bill - CENTRAL IOWA 912 PROJECT http://ow.ly/yNde","English"
"Modi be like... Bas ham bolta hai #MannKiBaat baaqi India sunta hai.. Pagal log","Hindi"
"Gao Senorita Geet Pyar Ke","Hindi"
"Kya bakwas speed hai #Jio #Net ki","Hindi"
"Product review-New Myofascial Release Tool The Grid Great for Corrective Exercise! http://ericeard.com","English"
"Maza toh tab aayega jab #trump terror ko khatam karega","Hindi"
"I THANK GOD FOR WAKIN UP ME AND ALL MY TWIGGAZ UP ...I COUNT MY BLESSINGS...","English"
"RT @Tramain360 3 Hour ""Snaked"" Promo Code Giveaway, Enter by Retweeting & Following @Tramain360 / @BrokenThumbsApp.","English"
"Whimsical wooden dog and horse breed ornaments same styles as my new puzzles. Starting at 9.99, PLUS the FB discount of 10%, coupon #C0209L.","English"
"Petrol k daam jab UPA k rule me bada tha tab Feku rone laga ab kyo hus raha hai? #mannkibaat","Hindi"
"The clocks were turned back today and it's seriously confusing me. Did i get an extra hour of sleep or loose one?! This is Important stuff!","English"
"http://twitpic.com/ny84r -","English"
"Homework: work you do at home...which you don't really do.","English"
"Photo gallery, Part II: Rutgers at UConn http://bit.ly/3ERQvt","English"
"Lillyan Schwab, daughter of Christine Schwab, will light up the ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œHot NowÃƒÂ¢Ã¢â€šÂ¬Ã‚Â sign at our new location at 1122 Veterans Parkway tomorrow morning","English"
"Phone anyone?","English"
"Snap Judgments: Oregon is rolling, but Boise State deserves its due http://bit.ly/smypr","English"
"life is not meant to be easy. life is life. that's it. just that some days are so damn harder than others. some days are so heavily hard","English"
"RT @lorimcneeartist: RT @bkmacdaddy ""5 Common Mistakes that you should Avoid when Branding"" http://bit.ly/hn8xH","English"
"Hazaar Rahen MudKe Dekhin","Hindi"
"Waise Agar Yea Kaha Jaye Ke Ã¢â‚¬Å“Ajj Bhi Mian Sahab Na Ehl Qaraar Diay Gaye Hain To Ghalat Na Hoga.Ã¢â‚¬Â #AchaSorry Supreme Court @MaryamNSharif","Hindi"
"I favorited a YouTube video -- We Love Russia!! http://bit.ly/2XmE5j","English"
"is available to speak at your event, store, workshop etc. Topics include training, behavior, behavior modification,... http://bit.ly/Vbyxb","English"
"Mai ek maasoom insaan hu janaab, koi kachra nahi..!!","Hindi"
"I think that my technology homework walked away by himself. But who knows? Maybe it stills hidden somewhere in my room. x )","English"
"pelajaran TIK cuma blajar nglompokin nama temen doang ! Ahahhaha","English"
"i was a soldier but im tumblin over.","English"
"Sara Bojh Supreme Court Par Baqi Idaray Nakaam Hotay Nazar Arahay Hain...?","Hindi"
"ghar mai lagi aag Se yad aya! #Trump k jitne ki khushi #India mai #Andhbhakto ko zyada thi shyd","Hindi"
"Sean Costello Band - It's My Own Fault: http://blip.fm/~fqjtj via @addthis","English"
"My ex told me I should be j holiday for Halloween...I told her she should be......deeez nutz.","English"
"if #xfactor were to adopt the same voting system as Eurovision #jedward would not be through.","English"
"I don't know what i'd do without music!!! Different song to suit a different scenario!!! Slow & depressing tonight!!!","English"
"Sometimes you just can't please yourself and those you care about and when you have to chose... It's a fucking problem. Loner 4 life--","English"
"New #Africa #news Egypt hosts next China-Africa Summit: Chinese officials.. http://bit.ly/9qEYG on #African #society","English"
"Hum Nahin Jhoomte hai","Hindi"
"RT @ItzAjee: Drake = Kanye .But. Drake > Wayne<<Lol drake>Wayne<Kanye","English"
"RT @Spotify: Robbie WilliamsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ new album to debut exclusively on Spotify in the UK http://bit.ly/ZKneZ","English"
"RT I didn't force you to dance with me that's ur fault @Jazzo0: S.O to @Mik3Lowrey for helpin me drop my camera !! I HATE YOUUUU!!! lol","English"
"frank raia should be the natural choice for hoboken mayor on tuesday","English"
"You can't stop me, It's inevitable....","English"
"Kujh news channel yeh dikhaneki jordaar koshish kar rahe hain ki #GST #demonitization ka bazaar mein bilkul bhi asar nhi hua, @abpnewshindi","Hindi"
"RT @soulvisual: That's one BIG treehouse! http://bit.ly/3SAxav imagine toutes les araignees dedans :D","English"
"RT @antidarwin: Are u Catholic? Like 2 tweet? Then you definitely need to visit www.TweetCatholic.com - by @TweetCatholic","English"
"I like training ppl . it's awesome . but I much rather go home . I think I have the flu! this doesn't feel like a normal cold!","English"
"RT@beeeebzy: RT @ayshneck: jimmy rollins did in fact figure out mo. he figured out that he can't hit him. NEW PREDICTION Phils in 08","English"
"Un suporter scotian costumat in oaie a luat foc dupa ce si-a incurajat echipa in deplasare: Un suporter al echi.. http://bit.ly/XWM0P","English"
"kan udh prnah gw jlasin, ol ga? RT @sweetiesscandy: RT @qonitarizqullah: @sweetiesscandy lagi bls tweet ajee, lo? gee tdr2an,,what is a LOL?","English"
"okaaaay sooo hindi ko mahanap yung fanfics ko 8D http://plurk.com/p/2h8sjg","English"
"kabhi aap logo na ""Lokpal"" par baat ki? kyo? aakhir modi ji na kya de rakha hai media ko? naxali, aatankwad? #notebandi sa kya mila?","Hindi"
"Tasting on Saturday 7th November - ""For the start & end of a meal"". In the shop. Just turn up.","English"
"RT: @tplayfair Aaaah Mia...SMDH!>RT @therealmiamazin: RT: @gocharms @SimoneMarie ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢wud PAY 2c alyuh & @tplayfair fight! ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢ #justsaying! Lol","English"
"Tabhi wahan bhaideya aagaya aur ussne chikoo se poocha ki kya ussne kissi khargosh ko wahan se phal le jatte huye dekha hai.","Hindi"
"Menu and Menu Item Identification: Hi All, I am trying to open a form of my application using menu click. In A.. http://bit.ly/3nuuiE","English"
"RT @Mrsz_Flaca: Ok I'm watching tyra now woohooo ÃƒÂ¢Ã¢â‚¬â€Ã¢â‚¬Å¾-- u need a man mama","English"
"Nintendo president: &#39;The Wii has stalled&#39; http://bit.ly/AIbev","English"
"Sahi kaha nahi dekha match... wo kya hain team pe bharosa itna tha ache neend bhi ae aur subah khush khabri bhi mil gai.","Hindi"
"New Update: Secured Loans In UK Are The Best Option For Borrowers http://bit.ly/bj56S","English"
"i like's green day, good charlotte, fall out boy and linkin park","English"
"Gokul Ki Galiyonka Gwala","Hindi"
"RT @GIZZYGATESIMHIM: LIFES A BITCH U COULD LOSE HER IN A MINUTE BUT QUICKER IN A SECOND DEPENDING ON HOW U HIT IT...","English"
"Those predictions are right, this month I have to put more efforts to do the job I don't understand.","English"
"Yes, of course, my husband and I will eat what's left in the candy bowl. The true test: what we do with the unopened bags.","English"
"snuggles, call my work phone...i turned my cellphone off","English"
"RT @intercon: Reading: ""Consumers unhappy with lack of mobile marketing messages - Mobile Marketing - BizReport"" ( http://bit.ly/R7jGI )","English"
"Waterpijp doet lekker zijn werk, pijn zakt wat en ik ben lekker loom, ga maar even aan mooie fotografie denken.","English"
"Well if yu going live ill start my comp then...:0 yea iknow shockin riqht...bbut I wanna see yo face when yu read what I wrote @WillThyILLis","English"
"on the phone with <3","English"
"Praying and waiting for my answer from GOD... Ãƒâ€šÃ‚Â¿ily?","English"
"que aburrimiento:(","English"
"Taking a break to enjoy coffee with my sisters on this beautiful fall day!","English"
"I'm not motivated enough to create a video on why I should get to sit next to Mark Cuban...but if you are, check it out http://bit.ly/1DPS9t","English"
"Gue emosi banget hari ini sebel ah hih","English"
"If you want 100 followers a day use http://alturl.com/ycso .","English"
"My nigga jus sent me a pic from last nite n he was dressed up as a woman lol... so he had to wait for halloween to come out the closet?","English"
"Leftover Halloween candy??? Drop off at E Brian Smith's dental office across from Westlake HS for Mobile Loaves and fishes for the homeless!","English"
"RT @Nureden: (Moi) Si on ÃƒÆ’Ã‚Â©tait pas fan de Tokio Hotel... RT @Nickellaa Si on ÃƒÆ’Ã‚Â©tait pas fan des Jonas notre vie serai bcp moin stressante mdr","English"
"Homework, cleaning, grocery shopping and laundry day! Today is a productive day, which is always good.","English"
